currencyPurchase,pricePurchase,expensesCurrency,expensesPrice,direcction,coveredArea,bedrooms,antiquity,toilets,environments,garages,condition,provision,provision_Contra Frente ,provision_Contrafrente ,provision_Frente ,provision_Interno ,provision_Lateral ,condition_ ,condition_A Refaccionar ,condition_Bueno ,condition_Excelente ,condition_Muy Bueno ,condition_Regular 
USD,119.500,$,20.0,PARAGUAY al 4500,60,2,10000,1,3,0, ,Frente ,0,0,1,0,0,1,0,0,0,0,0
USD,190.000,$,11.8,Paraguay al 4400,47,1,7,1,2,1, ,Frente ,0,0,1,0,0,1,0,0,0,0,0
USD,136.000,$,11.6,PARAGUAY al 3300,53,2,10000,1,3,0, ,Contrafrente ,0,1,0,0,0,1,0,0,0,0,0
USD,205.000,$,17.0,"Scalabrini Ortiz  2800 1°  2800, Piso 1",94,3,40,2,4,0,Excelente ,Contrafrente ,0,1,0,0,0,0,0,0,1,0,0
USD,105.000,$,6.0,"Angel Carranza  2000 1°  2000, Piso 1",36,Monoambiente,10,1,1,0,Excelente ,Contrafrente ,0,1,0,0,0,0,0,0,1,0,0
USD,69.000,$,15.0,Guatemala 4600,38,1,10000,1,2,0,Muy Bueno ,Contrafrente ,0,1,0,0,0,0,0,0,0,1,0
USD,380.000,$,20.0,"Juan Maria Gutierrez 3900, Piso 4",89,3,10000,3,4,1,Excelente ,Contra Frente ,1,0,0,0,0,0,0,0,1,0,0
USD,230.000,$,32.0,Av. Santa Fe al 4900,70,3,28,2,4,1, ,,0,0,0,0,0,1,0,0,0,0,0
USD,159.000,$,10.0,Uriarte 1300,76,2,10000,1,3,0,Bueno ,Contrafrente ,0,1,0,0,0,0,0,1,0,0,0
USD,140.000,$,9.0,Santos dumont al 2300,42,1,21,1,2,0, ,Contrafrente ,0,1,0,0,0,1,0,0,0,0,0
USD,149.000,$,14.0,BULNES al 1700,56,2,10000,1,3,0, ,Frente ,0,0,1,0,0,1,0,0,0,0,0
USD,255.000,$,44.7,Santa Fe al 5000,103,3,10000,2,5,1, ,,0,0,0,0,0,1,0,0,0,0,0
USD,399.000,$,45.8,"Juncal 4500, Piso 8",124,3,10000,2,4,1,Excelente ,Frente ,0,0,1,0,0,0,0,0,1,0,0
USD,106.900,$,31.0,Gurruchaga 2100,52,2,10000,1,3,0, ,,0,0,0,0,0,1,0,0,0,0,0
USD,92.000,$,32.0,Avenida Cordoba 4100,50,1,10000,1,2,0, ,,0,0,0,0,0,1,0,0,0,0,0
USD,85.000,$,8.4,"Armenia 1900, Piso 1",33,Monoambiente,10000,1,1,0,Excelente ,Lateral ,0,0,0,0,1,0,0,0,1,0,0
USD,67.300,$,32.0,Medrano 1200,27,1,10000,1,1,0,Bueno ,,0,0,0,0,0,0,0,1,0,0,0
USD,52.000,$,4.901,PARAGUAY al 3400,25,Monoambiente,10000,1,1,0, ,Contrafrente ,0,1,0,0,0,1,0,0,0,0,0
USD,95.000,$,7.974,GUEMES al 3300,38,Monoambiente,10000,1,1,0, ,Frente ,0,0,1,0,0,1,0,0,0,0,0
USD,89.000,$,10.0,"Guatemala 6000, Piso 1",35,Monoambiente,10000,1,1,0,Muy Bueno ,Frente ,0,0,1,0,0,0,0,0,0,1,0
